word,definition,example
aubergine,Hairy upright herb native to southeastern asia but widely cultivated for its large glossy edible fruit commonly used as a vegetable.,
audience,A gathering of spectators or listeners at a (usually public) performance.,the audience applauded
audio,The audible part of a transmitted signal.,they always raise the audio for commercials
audit,An inspection of the accounting procedures and records by a trained accountant or cpa.,National Assembly audit
audition,The ability to hear; the auditory faculty.,his hearing was impaired
August,The month following july and preceding september.,an august patron of the arts
aunt,The sister of your father or mother; the wife of your uncle.,
author,Writes (books or stories or articles or the like) professionally (for pay).,Have you read any Corinthian authors?
authoritative,Having authority or ascendancy or influence.,an important official
authority,The power or right to give orders or make decisions.,he has the authority to issue warrants
authorize/authorise,Grant authorization or clearance for.,Clear the manuscript for publication
automatic,Light machine gun.,I never learned to drive a stick. I can only drive an automatic.
automatically,In a reflex manner.,he answered automatically
autumn,The season when the leaves fall from the trees.,in the fall of 1973
auxiliary,Someone who acts as assistant.,auxiliary troops
availability,The quality of being at hand when needed.,What is your availability this week?
available,Obtainable or accessible and ready for use or service.,kept a fire extinguisher available
avenue,A line of approach.,they explored every avenue they could think of
average,A statistic describing the location of a distribution.,it set the norm for American homes
avoid,Stay clear from; keep away from; keep out of the way of someone or something.,Her former friends now avoid her
await,Look forward to the probable occurrence of.,We were expecting a visit from our relatives
awake,Stop sleeping.,She woke up to the sound of the alarm clock
award,A grant made by a law court.,he criticized the awarding of compensation by the court
aware,(sometimes followed by `of') having or showing knowledge or understanding or realization or perception.,was aware of his opponent's hostility
awareness,Having knowledge of.,he had no awareness of his mistakes
away,Not present; having left.,he's away right now
awe,An overwhelming feeling of wonder or admiration.,he stared over the edge with a feeling of awe
awesome,Inspiring awe or admiration or wonder; ; ; ; - melville.,New York is an amazing city
awful,Exceptionally bad or displeasing.,atrocious taste
awkward,Causing inconvenience.,they arrived at an awkward time
ax/axe,An edge tool with a heavy bladed head mounted across a handle.,His girlfriend/boss/schoolmaster gave him the axe.
axis,A straight line through a body or figure that satisfies certain conditions.,The Earth rotates once a day on its axis
baby,A very young child (birth to 1 year) who has not yet begun to walk or talk.,the baby began to cry again
babysit,"To watch or tend someone else's child for a period of time, often for money.","My daughter is babysitting for the Morgans at number ten, who are going out on a date night."
babysitter,A person engaged to care for children when the parents are not home.,My neighbor is sometimes a babysitter for other moms' children.
back,The posterior part of a human (or animal) body from the neck to the end of the spine.,his back was nicely tanned
